filename,file_type,file_size,file_modify_date,file_access_date,dimensions,sha1_hash,steganography_present,steganography_algorithm,signature
MP4 (51).MP4,MP4,145 MB,2019:06:22 14:43:02-07:00,2019:06:23 07:06:10-07:00,1920x1080,909ee82e4b1060718b9b2ea1c62bd5ac2d9a898b,No,None,
OpenPuff(2).mp4,MP4,108 MB,2019:06:22 14:49:06-07:00,2019:06:23 07:07:21-07:00,320x240,b1213f6230158e65ae8b34e80f3ef43441615180,No,None,
BDV(1).MP4,MP4,14 MB,2019:06:22 14:36:52-07:00,2019:06:23 07:07:22-07:00,1280x720,06e8feb369bc338ebdff71621c3bca7002843112,Yes,BDV Steganography,fbead881250ff9
OmniHide(1).MP4,MP4,15 MB,2019:06:22 14:45:16-07:00,2019:06:23 07:07:23-07:00,1280x720,4e9de34fca1d756696312a038ccda8a68a8d5939,Yes,OmniHide Steganography,null byte insertion
MP4 (53).MP4,MP4,130 MB,2019:06:22 14:45:02-07:00,2019:06:23 07:07:24-07:00,1920x1080,23e922a6e30e1f67433905e04c3c6bff67a65fa6,No,None,
OpenPuff(3).mp4,MP4,109 MB,2019:06:22 14:50:46-07:00,2019:06:23 07:07:25-07:00,320x240,1791daa5a80cb43478eb50444bce17de7c0499a5,No,None,
OmniHide(2).MP4,MP4,14 MB,2019:06:22 14:45:30-07:00,2019:06:23 07:07:26-07:00,1280x720,84e38205150723aac6b1b0248bc470b18ac9c135,Yes,OmniHide Steganography,null byte insertion
OurSecret(1).mp4,MP4,92 MB,2019:06:22 14:52:12-07:00,2019:06:23 07:07:27-07:00,320x240,015f592b7ab3b42c29c3732505f6caa522736050,Yes,OurSecret Steganography,9e97ba2a008088c9a370975ba2e499b8c178720f88dddc342b4e7d317fb5e87039a8b84275687191
BDV(3).MP4,MP4,21 MB,2019:06:22 14:37:26-07:00,2019:06:23 07:07:27-07:00,1280x720,19cace5f5f36689407fd179cb2d47b8b920685a1,Yes,BDV Steganography,fbead881250ff9
BDV(2).MP4,MP4,15 MB,2019:06:22 14:37:06-07:00,2019:06:23 07:07:28-07:00,1280x720,ad30a9738348bed6b4bb25b8e5f8fadab022bdb0,Yes,BDV Steganography,fbead881250ff9
Clean(2).mp4,MP4,124 MB,2019:06:22 14:40:50-07:00,2019:06:23 07:07:29-07:00,320x240,f4e3531c6921ef5b55d82a426a7cc53c6ad9c981,No,None,
Clean(1).MP4,MP4,96 MB,2019:06:22 14:38:54-07:00,2019:06:23 07:07:31-07:00,1920x1080,152a737166dd1dffe76b602b78665838e2b4a3a7,No,None,
OmniHide(3).MP4,MP4,14 MB,2019:06:22 14:45:42-07:00,2019:06:23 07:07:32-07:00,1280x720,ea1c89916618dee598707bbdac1b9a866fc35159,Yes,OmniHide Steganography,null byte insertion
OpenPuff(1).mp4,MP4,108 MB,2019:06:22 14:47:22-07:00,2019:06:23 07:07:33-07:00,320x240,4b5a7478b9da57f7c46d5edda35b349bebcdc578,No,None,
