Filename,file type,file size,file modify date,file access date,dimensions,Steganography Present,Steganography Algorithm,Signature
/home/darren/Desktop/Ramses/TestMediaRam/Farringdon_station_MMB_10_C-Stock.jpg,JPEG,2.8 MB,2019:06:10 17:53:36+01:00,2019:06:10 17:53:50+01:00,3822x2268,No,None,
/home/darren/Desktop/Ramses/TestMediaRam/Image/clean_7232202430_d38b6d6986_z.png,PNG,552 kB,2019:02:01 16:27:42+00:00,2019:06:10 16:23:11+01:00,640x424,No,None,
/home/darren/Desktop/Ramses/TestMediaRam/Image/IMG00007-20130311-0847.jpg_103818893548807.jpg,JPEG,380 kB,2019:06:07 13:20:15+01:00,2019:06:10 16:23:11+01:00,1600x1200,No,None,
/home/darren/Desktop/Ramses/TestMediaRam/Image/clean_7237798856_86870c8823_z.png,PNG,223 kB,2019:02:01 16:27:42+00:00,2019:06:10 16:23:11+01:00,640x431,No,None,
/home/darren/Desktop/Ramses/TestMediaRam/Image/clean_7235558256_3099066753.png,PNG,340 kB,2019:02:01 16:27:42+00:00,2019:06:10 16:23:11+01:00,500x333,No,None,
/home/darren/Desktop/Ramses/TestMediaRam/Image/compromised_banner_mcrypt.jpg,JPEG,5.4 MB,2019:06:07 13:20:15+01:00,2019:06:10 16:23:11+01:00,4032x3024,No,None,
/home/darren/Desktop/Ramses/TestMediaRam/Image/clean_7232206610_b8cfded120_z.png,PNG,521 kB,2019:02:01 16:27:42+00:00,2019:06:10 16:23:11+01:00,640x424,No,None,
/home/darren/Desktop/Ramses/TestMediaRam/Image/IMG_0265.JPG.jpg,JPEG,86 kB,2019:06:07 13:20:15+01:00,2019:06:10 16:23:12+01:00,1080x1080,Yes,PixelKnot Steganography,ffe000104a464946000101000001
/home/darren/Desktop/Ramses/TestMediaRam/Image/clean_7221186570_82a10bc040_z.png,PNG,387 kB,2019:02:01 16:27:42+00:00,2019:06:10 16:23:12+01:00,640x425,No,None,
/home/darren/Desktop/Ramses/TestMediaRam/Image/clean_7235972310_8c25258da5.png,PNG,333 kB,2019:02:01 16:27:42+00:00,2019:06:10 16:23:12+01:00,500x333,No,None,
/home/darren/Desktop/Ramses/TestMediaRam/Image/clean_7232193260_c2fd8c0f25_z.png,PNG,570 kB,2019:02:01 16:27:42+00:00,2019:06:10 16:23:12+01:00,640x424,No,None,
/home/darren/Desktop/Ramses/TestMediaRam/Image/clean_7228374452_8f743dc3d4_z.png,PNG,394 kB,2019:02:01 16:27:42+00:00,2019:06:10 16:23:12+01:00,640x427,No,None,
/home/darren/Desktop/Ramses/TestMediaRam/Image/clean_7231623538_f51db2a35a_z.png,PNG,548 kB,2019:02:01 16:27:42+00:00,2019:06:10 16:23:12+01:00,640x427,No,None,
/home/darren/Desktop/Ramses/TestMediaRam/Image/clean_7232220662_3d42c69109_z.png,PNG,540 kB,2019:02:01 16:27:42+00:00,2019:06:10 16:23:12+01:00,640x424,No,None,
/home/darren/Desktop/Ramses/TestMediaRam/Image/clean_7222762386_2688184c8e.png,PNG,130 kB,2019:02:01 16:27:42+00:00,2019:06:10 16:23:12+01:00,276x500,No,None,
/home/darren/Desktop/Ramses/TestMediaRam/Image/how-to-become-a-hacker-735x400.jpg,JPEG,87 kB,2019:06:07 13:20:15+01:00,2019:06:10 16:23:12+01:00,735x400,Yes,PixelKnot Steganography,ffe000104a464946000101000001
/home/darren/Desktop/Ramses/TestMediaRam/Image/clean_7234473324_bb8a82b5bd.png,PNG,223 kB,2019:02:01 16:27:42+00:00,2019:06:10 16:23:13+01:00,500x333,No,None,
