image_type,image_hash,privacy,malware_campaign,steg_present,date,owner,id,steg_signature,steg_algorithm,duration
jpg,070ff5c02898be5a0b13e56801afbd8e5a1876e026a1d2edfe03f281067f410728ae8406cd990e995b02ac48220ddbf514188edb31444da9d7dc401c442463ee,public,bughunt2,yes,2019-01-18T01:17:04Z,"{'username': 'darren.smith', 'agency': 'Other', 'name': 'Darren', 'lastName': 'Hurley-Smith', 'userId': '5a1f9b4f-a901-419e-915b-6b24f6925d17'}",070ff5c02898be5a0b13e56801afbd8e5a1876e026a1d2edfe03f281067f410728ae8406cd990e995b02ac48220ddbf514188edb31444da9d7dc401c442463ee,ffe000104a464946000101000001,Pixelknot Steganography,00:00:00
png,ed33c0b143b474b87a7b3c41fae957ff5711072b89b57920895ef7f049687db8b47ee03781ee295f38db09f1fb6c1fecf59c6e53435479737912df0117f57494,public,None,None,2019-01-18T01:17:04Z,"{'username': 'darren.smith', 'agency': 'Other', 'name': 'Darren', 'lastName': 'Hurley-Smith', 'userId': '5a1f9b4f-a901-419e-915b-6b24f6925d17'}",ed33c0b143b474b87a7b3c41fae957ff5711072b89b57920895ef7f049687db8b47ee03781ee295f38db09f1fb6c1fecf59c6e53435479737912df0117f57494,None,None,00:00:00
png,971e622f626dc081d720af9d63ca0f61c018e7ac77c521ebae4c903ee5a4e719a42352c05f297062173bc7a5b9aba95fa86501224427a140bb6bd4e749b95684,public,None,None,2019-01-18T01:17:04Z,"{'username': 'darren.smith', 'agency': 'Other', 'name': 'Darren', 'lastName': 'Hurley-Smith', 'userId': '5a1f9b4f-a901-419e-915b-6b24f6925d17'}",971e622f626dc081d720af9d63ca0f61c018e7ac77c521ebae4c903ee5a4e719a42352c05f297062173bc7a5b9aba95fa86501224427a140bb6bd4e749b95684,None,None,00:00:00
png,16b9ac464cf3453aac682851ec3410b898db69dbb27c3e726fde6d2b028bebd909c29dd2c0dc98a97263255741a8c6501373ca7bdb5c92ea30a784f0c93b66c9,public,bughunt2,yes,2019-01-18T01:17:04Z,"{'username': 'darren.smith', 'agency': 'Other', 'name': 'Darren', 'lastName': 'Hurley-Smith', 'userId': '5a1f9b4f-a901-419e-915b-6b24f6925d17'}",16b9ac464cf3453aac682851ec3410b898db69dbb27c3e726fde6d2b028bebd909c29dd2c0dc98a97263255741a8c6501373ca7bdb5c92ea30a784f0c93b66c9,Statistical Steganalysis,LSB Steganography,00:00:00
jpg,+MbQeThWmYq3t6w9z$C&F)J@NcRfUjXn,public,,yes,2018-02-12T13:12:08Z,"{'username': 'test', 'agency': 'Other', 'name': 'testName', 'lastName': 'testLastName', 'userId': 'a083c840-c5b8-4657-aa06-57dffa511724'}",,68576 D5A71347437,RS - Analysis,
jpg,1c9497071ea633adb69544056c064884bbd046c6df6057145a5b7f670b94ef8b50b7d87a24bf725b8b021f6cf81b8ec64d40dd5b3ec77dae15b3cc65d51784e6,public,bughunt2,yes,2019-01-18T01:17:04Z,"{'username': 'darren.smith', 'agency': 'Other', 'name': 'Darren', 'lastName': 'Hurley-Smith', 'userId': '5a1f9b4f-a901-419e-915b-6b24f6925d17'}",1c9497071ea633adb69544056c064884bbd046c6df6057145a5b7f670b94ef8b50b7d87a24bf725b8b021f6cf81b8ec64d40dd5b3ec77dae15b3cc65d51784e6,ffe000104a464946000101000001,Pixelknot Steganography,00:00:00
png,e05c9e99b99b545af976ed472ddbe1212a1385ead4255e5d0c550141c075325f805dd9ff219efdf7911c1d575f0e1da591e4038d6395fa6425053d048ae7c35f,public,None,None,2019-01-18T01:17:04Z,"{'username': 'darren.smith', 'agency': 'Other', 'name': 'Darren', 'lastName': 'Hurley-Smith', 'userId': '5a1f9b4f-a901-419e-915b-6b24f6925d17'}",e05c9e99b99b545af976ed472ddbe1212a1385ead4255e5d0c550141c075325f805dd9ff219efdf7911c1d575f0e1da591e4038d6395fa6425053d048ae7c35f,None,None,00:00:00
jpg,789801721c67d237133026a8087e10a8d5791f4ba07025df60ed2d23aaa7b3c06f3b409ebe65477fa4418f636fca8aca489761e9a62353fa7994941514b71f36,public,bughunt2,yes,2019-01-18T01:17:04Z,"{'username': 'darren.smith', 'agency': 'Other', 'name': 'Darren', 'lastName': 'Hurley-Smith', 'userId': '5a1f9b4f-a901-419e-915b-6b24f6925d17'}",789801721c67d237133026a8087e10a8d5791f4ba07025df60ed2d23aaa7b3c06f3b409ebe65477fa4418f636fca8aca489761e9a62353fa7994941514b71f36,ffe000104a464946000101000001,Pixelknot Steganography,00:00:00
png,dbb6e30def8c56be0878aee20ad459e4c4f1205e7d8327159349fe35e613f7b3a6a802cf13bed9830c91b246372992e227c2388374860ba64371e2db00cbe23f,public,None,None,2019-01-18T01:17:04Z,"{'username': 'darren.smith', 'agency': 'Other', 'name': 'Darren', 'lastName': 'Hurley-Smith', 'userId': '5a1f9b4f-a901-419e-915b-6b24f6925d17'}",dbb6e30def8c56be0878aee20ad459e4c4f1205e7d8327159349fe35e613f7b3a6a802cf13bed9830c91b246372992e227c2388374860ba64371e2db00cbe23f,None,None,00:00:00
jpg,abbdf861833825e7860361affa26b3de3049cb9dbac425099701bd8fd3da423210aee285a4ed8deba662776af32a0523702ed6d536475d8a29acc806f3f1ab57,public,bughunt2,yes,2019-01-18T01:17:04Z,"{'username': 'darren.smith', 'agency': 'Other', 'name': 'Darren', 'lastName': 'Hurley-Smith', 'userId': '5a1f9b4f-a901-419e-915b-6b24f6925d17'}",abbdf861833825e7860361affa26b3de3049cb9dbac425099701bd8fd3da423210aee285a4ed8deba662776af32a0523702ed6d536475d8a29acc806f3f1ab57,ffe000104a464946000101000001,Pixelknot Steganography,00:00:00
